식품명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일,100ml,0,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일,100ml,2,,0,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_커즈마인 아이스(ICED) (L),100ml,0,,0,,,,0,,,,,,6,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_커즈마인 핫(HOT) (L),100ml,0,,0,,,,0,,,,,,6,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_쿨민트 아이스(ICED),100ml,2,,0.23,,,0.47,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_쿨민트 핫(HOT),100ml,3,,0.25,,,0.5,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_크림슨 펀치 아이스(ICED),100ml,3,,0,,,0.47,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_민트 블렌드티 아이스(ICED) (Tall),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_민트 블렌드티 핫(HOT) (Tall),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_민트 아이스(ICED) (L),100ml,0,,0,,,,,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_민트 핫(HOT) (L),100ml,0,,0,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_민트크루 아이스(ICED) (L),100ml,0,,0,,,,0,,,,,,7,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_민트크루 핫(HOT) (L),100ml,0,,0,,,,0,,,,,,6,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_샤인히비스커스 아이스(ICED),100ml,1,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_샤인히비스커스 핫(HOT),100ml,1,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_스위트후르츠 아이스(ICED),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_스위트후르츠 핫(HOT),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_스프링캐모마일 아이스(ICED),100ml,2,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_스프링캐모마일 핫(HOT),100ml,2,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_시나몬 진저티,100ml,1,,0,,,,0,,,,,,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_오렌지 보스 아이스(ICED) (L),100ml,0,,0,,,,0,,,,,,7,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
